









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	147.0	181.0	178.0	275.0	197.0	198.0	169.0	222.0	338.0	278.0	201.0	324.0	223.0	117.0	80.0	129.0	77.0	132.0	80.0	103.0	33.0	27.0	49.0	39.0	27.0	22.0	22.0	44.0	4.0	21.0	4.0	13.0	9.0	29.0	16.0	64.0	31.0	57.0	40.0	71.0	53.0	95.0	137.0	94.0	99.0	163.0	167.0	278.0	

Lesser Whistling-Duck (<em class="sci">Dendrocygna javanica</em>)	0.0272109	0.0220994	0.0168539	0.0218182	0.0152284	0.0252525	0.0177515	0.0135135	0.0177515	0.0071942	0.0298507	0.0123457	0.0134529	0.017094	0.025	0.0310078	0.012987	0.0530303	0.025	0.1067961	0.0606061	0.037037	0.1020408	0.0015	0.0	0.0454545	0.0454545	0.0227273	0.0	0.0952381	0.25	0.0	0.0	0.0	0.0	0.015625	0.0	0.0	0.0	0.0140845	0.0	0.0015	0.0145985	0.0015	0.020202	0.0429448	0.0359281	0.0467626	
Cotton Pygmy-Goose (<em class="sci">Nettapus coromandelianus</em>)	0.0408163	0.0441989	0.0449438	0.0290909	0.0203046	0.0	0.0177515	0.018018	0.0295858	0.0071942	0.0049751	0.0154321	0.0089686	0.025641	0.025	0.0155039	0.012987	0.0227273	0.1375	0.0097087	0.0606061	0.0740741	0.0204082	0.0015	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0145985	0.0015	0.030303	0.0122699	0.0359281	0.0323741	
Garganey (<em class="sci">Spatula querquedula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0059172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
White-winged Duck (<em class="sci">Asarcornis scutulata</em>)	0.0015	0.0055249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Orange-necked Partridge (<em class="sci">Arborophila davidi</em>)	0.0204082	0.0165746	0.005618	0.0109091	0.0406091	0.010101	0.0177515	0.0405405	0.056213	0.0395683	0.0547264	0.0339506	0.0403587	0.017094	0.05	0.0465116	0.012987	0.030303	0.0125	0.0291262	0.0015	0.0	0.0204082	0.0015	0.0	0.0	0.0454545	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046875	0.0	0.0	0.0	0.0422535	0.0	0.0210526	0.0015	0.0531915	0.010101	0.0306748	0.005988	0.0107914	
Siamese Fireback (<em class="sci">Lophura diardi</em>)	0.1156463	0.1381215	0.1516854	0.0909091	0.106599	0.1666667	0.1715976	0.1351351	0.1568047	0.147482	0.1393035	0.1512346	0.1076233	0.0854701	0.1125	0.124031	0.1038961	0.0984848	0.125	0.1262136	0.0909091	0.1851852	0.0204082	0.025641	0.0740741	0.2272727	0.0454545	0.0454545	0.25	0.0952381	0.25	0.3076923	0.0	0.2413793	0.0	0.015625	0.0645161	0.0877193	0.15	0.1408451	0.0754717	0.0315789	0.0656934	0.0744681	0.1010101	0.1165644	0.1017964	0.1043165	
Green Peafowl (<em class="sci">Pavo muticus</em>)	0.2108844	0.1878453	0.2191011	0.2036364	0.1725888	0.1969697	0.2840237	0.2027027	0.2307692	0.1978417	0.1492537	0.2037037	0.1838565	0.1282051	0.1375	0.1627907	0.0649351	0.1818182	0.1	0.1747573	0.2121212	0.0740741	0.1020408	0.0512821	0.037037	0.2272727	0.1363636	0.2045455	0.5	0.2857143	0.25	0.0769231	0.2222222	0.137931	0.125	0.15625	0.1612903	0.1403509	0.125	0.1690141	0.1320755	0.1894737	0.1313869	0.1595745	0.2222222	0.196319	0.1437126	0.2230216	
Scaly-breasted Partridge (<em class="sci">Tropicoperdix chloropus</em>)	0.2040816	0.2209945	0.3314607	0.2727273	0.2538071	0.2777778	0.3491124	0.2342342	0.2869822	0.2841727	0.2835821	0.308642	0.264574	0.2820513	0.25	0.2790698	0.2207792	0.1742424	0.1	0.184466	0.0909091	0.0740741	0.122449	0.0769231	0.0740741	0.0909091	0.1818182	0.0909091	0.5	0.1904762	0.0	0.0	0.1111111	0.137931	0.0	0.234375	0.1935484	0.245614	0.175	0.1549296	0.1132075	0.0736842	0.2043796	0.2234043	0.2222222	0.2576687	0.2934132	0.2122302	
Germain's Peacock-Pheasant (<em class="sci">Polyplectron germaini</em>)	0.170068	0.2541436	0.2640449	0.2072727	0.2030457	0.2373737	0.3017751	0.2207207	0.204142	0.1978417	0.1840796	0.1790123	0.206278	0.1794872	0.275	0.2093023	0.1038961	0.1666667	0.075	0.1165049	0.0909091	0.0740741	0.0408163	0.0769231	0.037037	0.1363636	0.1363636	0.0681818	0.5	0.1428571	0.0	0.1538462	0.2222222	0.1034483	0.0625	0.015625	0.0645161	0.122807	0.05	0.1971831	0.1886792	0.0842105	0.1094891	0.1489362	0.1111111	0.1533742	0.1736527	0.1906475	
pheasant sp. (<em class="sci">Phasianidae sp. (pheasant sp.)</em>)	0.0	0.0055249	0.0	0.0036364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Junglefowl (<em class="sci">Gallus gallus</em>)	0.2993197	0.2872928	0.3258427	0.3054545	0.3451777	0.2979798	0.4497041	0.3333333	0.3431953	0.4208633	0.3631841	0.3765432	0.3183857	0.2991453	0.3	0.3255814	0.2077922	0.2424242	0.1875	0.2524272	0.3333333	0.2222222	0.1020408	0.0769231	0.1851852	0.3636364	0.1363636	0.1363636	0.25	0.1904762	0.5	0.2307692	0.1111111	0.1034483	0.1875	0.046875	0.1612903	0.1754386	0.2	0.1971831	0.1698113	0.1789474	0.1386861	0.2234043	0.2020202	0.2883436	0.2934132	0.2553957	
Chinese Francolin (<em class="sci">Francolinus pintadeanus</em>)	0.0340136	0.038674	0.0337079	0.0472727	0.0406091	0.0050505	0.035503	0.0405405	0.0266272	0.0503597	0.0447761	0.0617284	0.058296	0.0512821	0.05	0.0542636	0.012987	0.0075758	0.025	0.0291262	0.030303	0.0	0.0408163	0.025641	0.0	0.1363636	0.0	0.0	0.0	0.0952381	0.0	0.0015	0.0	0.0344828	0.0	0.015625	0.0645161	0.0350877	0.025	0.028169	0.0	0.0210526	0.0072993	0.0638298	0.020202	0.0245399	0.011976	0.0395683	
King Quail (<em class="sci">Synoicus chinensis</em>)	0.0015	0.0	0.005618	0.0	0.0050761	0.0015	0.0	0.0045045	0.0029586	0.0015	0.0	0.0154321	0.0044843	0.008547	0.0	0.0077519	0.0	0.0	0.0	0.0097087	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	
Rock Dove (<em class="sci">Columba livia</em>)	0.0	0.0055249	0.0168539	0.0	0.0203046	0.0151515	0.0414201	0.0135135	0.0029586	0.0107914	0.0149254	0.0030864	0.0044843	0.0	0.0	0.0155039	0.0	0.0075758	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0454545	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0140845	0.0	0.0210526	0.0	0.0	0.010101	0.0122699	0.005988	0.0215827	
Oriental Turtle-Dove (<em class="sci">Streptopelia orientalis</em>)	0.0068027	0.0055249	0.0	0.0072727	0.0152284	0.0	0.0	0.0	0.0029586	0.0035971	0.0049751	0.0092593	0.0	0.0	0.0	0.0	0.012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.020202	0.006135	0.005988	0.0107914	
Red Collared-Dove (<em class="sci">Streptopelia tranquebarica</em>)	0.1768707	0.2099448	0.2191011	0.2181818	0.2538071	0.1868687	0.2544379	0.2522523	0.2337278	0.2194245	0.1940299	0.2160494	0.1479821	0.1111111	0.075	0.1627907	0.0649351	0.1666667	0.2375	0.1359223	0.1818182	0.1851852	0.1836735	0.025641	0.1481481	0.2727273	0.3636364	0.2045455	0.0	0.1428571	0.0	0.0	0.1111111	0.1034483	0.0625	0.15625	0.1290323	0.1403509	0.1	0.1971831	0.1886792	0.2842105	0.1459854	0.2234043	0.1919192	0.190184	0.245509	0.2086331	
Streptopelia sp. (<em class="sci">Streptopelia sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101	0.0	0.0	0.0	
Spotted Dove (<em class="sci">Spilopelia chinensis</em>)	0.1904762	0.1712707	0.1966292	0.2	0.1979695	0.2020202	0.2130178	0.1576577	0.2278107	0.2122302	0.1840796	0.1697531	0.1434978	0.0940171	0.1125	0.1007752	0.0779221	0.1742424	0.1625	0.1941748	0.3030303	0.1481481	0.1428571	0.1025641	0.1851852	0.2727273	0.2727273	0.2272727	0.5	0.0952381	0.0	0.0769231	0.1111111	0.1034483	0.0625	0.046875	0.0645161	0.0701754	0.175	0.1830986	0.1320755	0.1473684	0.1313869	0.2340426	0.2020202	0.1595092	0.1437126	0.1798561	
Barred Cuckoo-Dove (<em class="sci">Macropygia unchall</em>)	0.0	0.0	0.005618	0.0036364	0.0152284	0.0	0.0177515	0.0045045	0.0029586	0.0071942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0204082	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.0	0.0	0.0	0.0107914	
Asian Emerald Dove (<em class="sci">Chalcophaps indica</em>)	0.1632653	0.1712707	0.1797753	0.1854545	0.1725888	0.1717172	0.183432	0.1711712	0.2366864	0.2410072	0.2089552	0.2283951	0.2331839	0.1623932	0.2	0.1317829	0.1168831	0.1893939	0.175	0.1165049	0.1818182	0.1111111	0.122449	0.1025641	0.1481481	0.1818182	0.2727273	0.1136364	0.0	0.1428571	0.0	0.0769231	0.2222222	0.137931	0.0	0.0	0.0645161	0.0877193	0.0	0.1830986	0.1320755	0.0947368	0.0656934	0.1170213	0.1414141	0.1411043	0.1317365	0.1438849	
Zebra Dove (<em class="sci">Geopelia striata</em>)	0.3469388	0.4696133	0.4044944	0.3854545	0.3248731	0.3383838	0.3550296	0.3288288	0.3964497	0.3561151	0.278607	0.3209877	0.2286996	0.2307692	0.1875	0.2093023	0.1948052	0.3106061	0.2	0.184466	0.2727273	0.0740741	0.2653061	0.3589744	0.2222222	0.2727273	0.4545455	0.2954545	0.75	0.2380952	0.5	0.1538462	0.4444444	0.4137931	0.6875	0.6875	0.4516129	0.5087719	0.475	0.4366197	0.4150943	0.2947368	0.270073	0.3829787	0.3333333	0.3435583	0.3113772	0.3309353	
Pink-necked Green-Pigeon (<em class="sci">Treron vernans</em>)	0.0204082	0.0055249	0.005618	0.0036364	0.0203046	0.010101	0.0236686	0.009009	0.0088757	0.0071942	0.0	0.0185185	0.0044843	0.0	0.0	0.0077519	0.0	0.0	0.0125	0.0	0.0015	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020202	0.0	0.0	0.0035971	
Orange-breasted Green-Pigeon (<em class="sci">Treron bicinctus</em>)	0.0612245	0.0497238	0.0786517	0.0290909	0.0964467	0.0555556	0.035503	0.0675676	0.1065089	0.0935252	0.039801	0.0740741	0.0493274	0.017094	0.025	0.0077519	0.0	0.030303	0.0	0.0097087	0.0015	0.037037	0.0	0.0	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0210526	0.0	0.0106383	0.020202	0.006135	0.011976	0.0143885	
Ashy-headed Green-Pigeon (<em class="sci">Treron phayrei</em>)	0.0544218	0.0883978	0.1011236	0.1054545	0.1472081	0.0353535	0.1656805	0.0810811	0.1094675	0.1115108	0.1343284	0.1604938	0.1165919	0.1538462	0.05	0.0387597	0.012987	0.0454545	0.0125	0.0679612	0.0015	0.0	0.0816327	0.025641	0.0740741	0.0909091	0.0909091	0.0227273	0.0	0.047619	0.0	0.0	0.0	0.0344828	0.0625	0.015625	0.0	0.0350877	0.05	0.056338	0.0188679	0.0315789	0.0510949	0.0638298	0.030303	0.0368098	0.0538922	0.0719424	
Thick-billed Green-Pigeon (<em class="sci">Treron curvirostra</em>)	0.170068	0.2430939	0.2359551	0.28	0.3553299	0.3030303	0.2899408	0.2297297	0.2544379	0.2410072	0.3383085	0.2777778	0.2331839	0.2905983	0.2625	0.2170543	0.2337662	0.3257576	0.2375	0.2038835	0.2424242	0.0015	0.1632653	0.0769231	0.037037	0.1818182	0.4545455	0.0909091	0.5	0.1428571	0.0	0.2307692	0.1111111	0.1034483	0.0625	0.0015	0.0645161	0.0526316	0.075	0.0422535	0.1698113	0.1157895	0.1605839	0.1489362	0.2323232	0.2822086	0.1856287	0.1834532	
Yellow-footed Green-Pigeon (<em class="sci">Treron phoenicopterus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
