









Frequency of observations in the selected location(s).:
Number of taxa: 	123

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	10.0	10.0	6.0	4.0	5.0	4.0	8.0	5.0	5.0	6.0	5.0	9.0	6.0	7.0	9.0	12.0	7.0	5.0	6.0	14.0	8.0	5.0	3.0	8.0	3.0	7.0	4.0	7.0	2.0	3.0	4.0	7.0	6.0	7.0	4.0	8.0	5.0	4.0	6.0	9.0	6.0	11.0	8.0	5.0	13.0	9.0	5.0	9.0	

Emu (<em class="sci">Dromaius novaehollandiae</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.1111111	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.1	0.1	0.1666667	0.0	0.0	0.0	0.125	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.1111111	0.0833333	0.1428571	0.0	0.1666667	0.0714286	0.0	0.0	0.0	0.0	0.0	0.2857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.2	0.1111111	
Australian Shelduck (<em class="sci">Tadorna tadornoides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australian Wood Duck (<em class="sci">Chenonetta jubata</em>)	0.1	0.1	0.3333333	0.0	0.2	0.0	0.375	0.0	0.0	0.3333333	0.2	0.0015	0.0	0.1428571	0.2222222	0.25	0.1428571	0.0	0.1666667	0.1428571	0.25	0.4	0.0	0.125	0.0	0.4285714	0.75	0.2857143	0.0	0.0	0.25	0.1428571	0.3333333	0.2857143	0.25	0.125	0.2	0.25	0.0	0.1111111	0.1666667	0.0	0.0	0.6	0.1538462	0.0	0.2	0.0	
Australasian Shoveler (<em class="sci">Spatula rhynchotis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pacific Black Duck (<em class="sci">Anas superciliosa</em>)	0.1	0.0015	0.1666667	0.0	0.0	0.0	0.25	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.2222222	0.1666667	0.1428571	0.0	0.1666667	0.1428571	0.125	0.2	0.0	0.125	0.0	0.5714286	0.25	0.1428571	0.5	0.0	0.25	0.1428571	0.1666667	0.2857143	0.25	0.125	0.2	0.25	0.0	0.2222222	0.0	0.0	0.0	0.4	0.2307692	0.1111111	0.2	0.2222222	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pacific Black Duck x Mallard (hybrid) (<em class="sci">Anas superciliosa x platyrhynchos</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714286	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Grey Teal (<em class="sci">Anas gracilis</em>)	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.1666667	0.1428571	0.0	0.0	0.0	0.0	0.0	0.2857143	0.0	0.0	0.5	0.0	0.0	0.1428571	0.0	0.1428571	0.0	0.125	0.2	0.0	0.0	0.0	0.0	0.0909091	0.0	0.2	0.0769231	0.1111111	0.2	0.0	
Chestnut Teal (<em class="sci">Anas castanea</em>)	0.0	0.1	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0833333	0.1428571	0.0	0.1666667	0.1428571	0.0	0.2	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.1428571	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.2	0.0	
Hardhead (<em class="sci">Aythya australis</em>)	0.1	0.0	0.3333333	0.0	0.0015	0.0	0.125	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2222222	0.0	0.1428571	0.0	0.0	0.0714286	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.5	0.0	0.25	0.1428571	0.0	0.1428571	0.25	0.125	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0015	0.0769231	0.0	0.2	0.0	
Blue-billed Duck (<em class="sci">Oxyura australis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	
Musk Duck (<em class="sci">Biziura lobata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
