









Frequency of observations in the selected location(s).:
Number of taxa: 	279

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	64.0	29.0	30.0	53.0	39.0	37.0	36.0	34.0	20.0	22.0	27.0	49.0	31.0	37.0	47.0	41.0	40.0	33.0	19.0	35.0	42.0	32.0	34.0	41.0	21.0	36.0	34.0	22.0	23.0	22.0	22.0	54.0	43.0	41.0	38.0	48.0	82.0	48.0	69.0	107.0	45.0	49.0	31.0	27.0	20.0	35.0	23.0	81.0	

Emu (<em class="sci">Dromaius novaehollandiae</em>)	0.015625	0.0	0.1	0.0	0.0512821	0.0015	0.0	0.0015	0.0	0.0454545	0.037037	0.0015	0.0	0.0540541	0.0	0.0	0.05	0.0	0.1052632	0.0571429	0.0	0.0	0.0294118	0.0243902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0232558	0.0243902	0.0263158	0.0208333	0.0121951	0.0208333	0.0869565	0.0373832	0.0222222	0.0204082	0.0	0.0015	0.05	0.0	0.0	0.0	
Plumed Whistling-Duck (<em class="sci">Dendrocygna eytoni</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.05	0.030303	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0263158	0.0	0.0121951	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0015	0.0	0.0	0.0123457	
Australian Wood Duck (<em class="sci">Chenonetta jubata</em>)	0.234375	0.137931	0.2666667	0.2641509	0.1794872	0.2162162	0.0833333	0.1764706	0.2	0.2727273	0.1851852	0.2653061	0.2580645	0.1891892	0.0851064	0.1707317	0.275	0.0909091	0.2105263	0.2285714	0.1904762	0.25	0.3823529	0.3170732	0.1904762	0.4444444	0.7058824	0.5	0.4347826	0.4090909	0.2272727	0.2962963	0.255814	0.2195122	0.4473684	0.1458333	0.2073171	0.2708333	0.2173913	0.1308411	0.2888889	0.1836735	0.0967742	0.1851852	0.35	0.2571429	0.173913	0.2592593	
Australasian Shoveler (<em class="sci">Spatula rhynchotis</em>)	0.0	0.0	0.0333333	0.0188679	0.0	0.0540541	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.027027	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0243902	0.0	0.0	0.0588235	0.0454545	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0526316	0.0	0.0121951	0.0208333	0.0	0.0	0.0	0.0	0.0	0.037037	0.05	0.0	0.0	0.0	
Pacific Black Duck (<em class="sci">Anas superciliosa</em>)	0.21875	0.1034483	0.0666667	0.1509434	0.1282051	0.2702703	0.0833333	0.2058824	0.2	0.1818182	0.1481481	0.1836735	0.1935484	0.0540541	0.1914894	0.097561	0.3	0.1212121	0.1578947	0.0285714	0.0952381	0.25	0.1176471	0.1219512	0.1428571	0.25	0.4117647	0.3636364	0.3043478	0.1818182	0.1818182	0.2037037	0.2093023	0.1707317	0.3421053	0.1041667	0.1707317	0.3125	0.115942	0.046729	0.1333333	0.1428571	0.1290323	0.1481481	0.35	0.2571429	0.3043478	0.1975309	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0185185	0.0	0.0	0.0	0.0	0.0	0.0	0.0144928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Grey Teal (<em class="sci">Anas gracilis</em>)	0.21875	0.0689655	0.0666667	0.0943396	0.0769231	0.1621622	0.0555556	0.0882353	0.15	0.0909091	0.1481481	0.122449	0.0967742	0.0540541	0.0212766	0.0243902	0.15	0.0	0.0526316	0.0	0.0238095	0.09375	0.0882353	0.1463415	0.047619	0.1388889	0.4411765	0.2727273	0.1304348	0.2727273	0.0	0.1296296	0.0930233	0.0731707	0.1315789	0.1041667	0.1097561	0.125	0.0434783	0.0373832	0.1333333	0.0816327	0.1612903	0.2222222	0.1	0.1714286	0.0869565	0.1481481	
